epoch,train_loss,train_acc,val_loss,val_acc
1,0.7405277352153727,0.7713296398891967,0.5926983119848256,0.7869966035904901
2,0.3990642475870858,0.8713296398891966,0.4337099028321413,0.856380397865114
3,0.30609163665006645,0.9004847645429362,0.29312923986536377,0.8956817079087821
4,0.24647328972948335,0.9200831024930748,0.2805543385302791,0.9015041242115478
5,0.19427709322653514,0.9357340720221606,0.2426356170183191,0.9153323629306163
6,0.1747745631542881,0.942797783933518,0.19906518083388128,0.9325570111596313
7,0.152416600771578,0.9485457063711912,0.13680155535515112,0.9526928675400291
8,0.13648617570082436,0.9547091412742382,0.1294427521705914,0.9563318777292577
9,0.1287106214321952,0.9569252077562327,0.13507617031438993,0.9531780688985929
10,0.12018793861719623,0.9593490304709141,0.17210996557707683,0.9422610383309074
11,0.10314462627325438,0.9667590027700831,0.09635157546754972,0.9660359049005337
12,0.10398537816430352,0.96398891966759,0.1334956624903358,0.9514798641436196
13,0.09977581042928242,0.9662742382271469,0.09523679046318508,0.970160116448326
14,0.08041293678838199,0.9740304709141274,0.11207124234105532,0.96045608927705
15,0.07666117110314359,0.975207756232687,0.09543682977807923,0.9657933042212519
16,0.0711007785727888,0.9761080332409973,0.10232104916022554,0.9648229015041242
17,0.04792381250670394,0.9842797783933518,0.0753933063760017,0.9747695293546822
18,0.04040312527810776,0.9869113573407202,0.07273765749101026,0.9779233381853469
19,0.032524073365622456,0.9906509695290858,0.0819984831318904,0.9711305191654537
20,0.03752965988092685,0.9871191135734072,0.05897102126977048,0.9779233381853469
21,0.03570804033898213,0.9887811634349031,0.059302518853180046,0.9784085395439107
22,0.033429504618403064,0.9893351800554017,0.08368515639852446,0.9716157205240175
23,0.030008474084655797,0.9901662049861496,0.059749244915180424,0.9779233381853469
24,0.022595933404137108,0.993213296398892,0.05273692589678551,0.980349344978166
25,0.018560036236473846,0.9950831024930747,0.047123950283052045,0.9856865599223678
26,0.018325177221188108,0.9947368421052631,0.05402469721336204,0.982532751091703
27,0.01568587515291972,0.9955678670360111,0.05007459616619879,0.9844735565259582
28,0.01671893877699452,0.9956371191135734,0.09181503786217385,0.967734109655507
29,0.014571371094212431,0.9962603878116344,0.04623728468045906,0.9832605531295487
30,0.013591239635268045,0.995983379501385,0.042706427561727024,0.9854439592430859
